Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
201,2025-04-09 16:44:45.265,25.012,620.5,35.39
205,2025-04-09 16:44:45.266,24.978,907.09,35.39
202,2025-04-09 16:44:45.468,25.002,836.01,35.4
206,2025-04-09 16:44:45.470,-22.73,1002.92,35.4
207,2025-04-09 16:44:45.669,-127.28,526.17,35.42
203,2025-04-09 16:44:45.671,-116.234,948.05,35.42
208,2025-04-09 16:44:45.870,-1.231,652.04,35.4
204,2025-04-09 16:44:45.873,-28.259,906.98,35.4
209,2025-04-09 16:44:46.087,25.081,1495.69,35.38
205,2025-04-09 16:44:46.090,25.091,1002.92,35.38
206,2025-04-09 16:44:46.214,11.67,667.14,35.39
210,2025-04-09 16:44:46.216,-28.259,906.93,35.39
211,2025-04-09 16:44:46.462,-6.817,1002.88,35.42
207,2025-04-09 16:44:46.463,25.093,516.88,35.42
208,2025-04-09 16:44:46.670,-15.974,635.07,35.42
212,2025-04-09 16:44:46.671,-28.259,907.04,35.42
213,2025-04-09 16:44:46.865,25.071,1002.89,35.41
209,2025-04-09 16:44:46.870,25.091,1002.89,35.41
214,2025-04-09 16:44:47.068,25.047,814.58,35.41
210,2025-04-09 16:44:47.071,-11.06,1002.91,35.41
215,2025-04-09 16:44:47.263,25.107,1552.5,35.41
211,2025-04-09 16:44:47.266,25.107,1002.92,35.41
212,2025-04-09 16:44:47.413,25.086,1002.92,35.39
216,2025-04-09 16:44:47.504,25.012,1002.91,35.37
217,2025-04-09 16:44:47.668,25.026,828.07,35.4
213,2025-04-09 16:44:47.671,-16.588,1002.93,35.4
214,2025-04-09 16:44:47.861,25.088,1002.87,35.38
218,2025-04-09 16:44:47.865,25.088,1002.87,35.38
219,2025-04-09 16:44:48.107,25.076,907.13,35.18
215,2025-04-09 16:44:48.108,25.004,1002.87,35.18
220,2025-04-09 16:44:48.264,25.04,1002.89,35.39
216,2025-04-09 16:44:48.266,25.04,1002.89,35.39
217,2025-04-09 16:44:48.464,25.021,924.49,35.4
221,2025-04-09 16:44:48.506,24.99,1002.89,35.17
218,2025-04-09 16:44:48.665,25.021,1002.91,35.4
222,2025-04-09 16:44:48.740,25.055,1002.88,35.31
219,2025-04-09 16:44:48.837,25.083,1002.92,35.35
223,2025-04-09 16:44:48.905,25.069,1002.92,35.24
224,2025-04-09 16:44:49.070,25.052,809.03,35.4
220,2025-04-09 16:44:49.071,-9.831,1002.89,35.4
221,2025-04-09 16:44:49.266,25.091,1002.89,35.39
225,2025-04-09 16:44:49.272,25.112,1002.87,35.39
222,2025-04-09 16:44:49.414,3.683,657.76,35.42
226,2025-04-09 16:44:49.416,-28.259,906.92,35.42
227,2025-04-09 16:44:49.669,-20.887,629.49,35.39
223,2025-04-09 16:44:49.672,-28.259,907.04,35.39
228,2025-04-09 16:44:49.816,25.081,1002.85,35.41
224,2025-04-09 16:44:49.864,25.081,1002.88,35.14
225,2025-04-09 16:44:50.070,-19.659,630.88,35.37
229,2025-04-09 16:44:50.071,-28.259,907.04,35.37
230,2025-04-09 16:44:50.265,25.086,880.76,35.37
226,2025-04-09 16:44:50.267,25.086,1002.91,35.37
231,2025-04-09 16:44:50.460,25.081,1002.95,35.4
227,2025-04-09 16:44:50.464,25.081,1002.91,35.4
228,2025-04-09 16:44:50.744,25.04,1002.94,35.17
232,2025-04-09 16:44:50.745,24.959,908.06,35.17
